Node,Packet,Direction,Protocol,Port,Time,Size,Offset
4,0,TX,UDP,520,0.237137,52,0
4,0,TX,UDP,520,0.237137,52,0
4,0,TX,UDP,520,0.237137,52,0
5,0,RX,UDP,520,0.238249,52,0
5,1,TX,UDP,520,0.238249,52,0
1,0,RX,UDP,520,0.238249,52,0
1,2,TX,UDP,520,0.238249,72,0
3,0,RX,UDP,520,0.238249,52,0
3,3,TX,UDP,520,0.238249,72,0
4,2,RX,UDP,520,0.246599,72,0
4,1,RX,UDP,520,0.250567,52,0
4,3,RX,UDP,520,0.250599,72,0
1,16,TX,UDP,520,0.258545,52,0
1,16,TX,UDP,520,0.258545,52,0
0,16,RX,UDP,520,0.259657,52,0
0,17,TX,UDP,520,0.259657,72,0
4,16,RX,UDP,520,0.259657,52,0
4,18,TX,UDP,520,0.259657,132,0
1,18,RX,UDP,520,0.269104,132,0
1,17,RX,UDP,520,0.271008,72,0
3,27,TX,UDP,520,0.37024,52,0
3,27,TX,UDP,520,0.37024,52,0
4,27,RX,UDP,520,0.371352,52,0
4,28,TX,UDP,520,0.371352,132,0
2,27,RX,UDP,520,0.371352,52,0
2,29,TX,UDP,520,0.371352,72,0
3,28,RX,UDP,520,0.374799,132,0
3,29,RX,UDP,520,0.382703,72,0
0,38,TX,UDP,520,0.530904,52,0
0,38,TX,UDP,520,0.530904,52,0
1,38,RX,UDP,520,0.532016,52,0
1,39,TX,UDP,520,0.532016,152,0
2,38,RX,UDP,520,0.532016,52,0
2,40,TX,UDP,520,0.532016,72,0
0,39,RX,UDP,520,0.537494,152,0
0,40,RX,UDP,520,0.544366,72,0
5,49,TX,UDP,520,0.570915,52,0
4,49,RX,UDP,520,0.572027,52,0
4,50,TX,UDP,520,0.572027,132,0
5,50,RX,UDP,520,0.577474,132,0
2,55,TX,UDP,520,0.720582,52,0
2,55,TX,UDP,520,0.720582,52,0
3,55,RX,UDP,520,0.721694,52,0
3,56,TX,UDP,520,0.721694,152,0
0,55,RX,UDP,520,0.721694,52,0
0,57,TX,UDP,520,0.721694,152,0
2,56,RX,UDP,520,0.730173,152,0
2,57,RX,UDP,520,0.731173,152,0
