[Node 4] Packet: 0, TX: UDP, Port: 520, Time: 0.237137, Size: 52, Offset=0
[Node 4] Packet: 0, TX: UDP, Port: 520, Time: 0.237137, Size: 52, Offset=0
[Node 4] Packet: 0, TX: UDP, Port: 520, Time: 0.237137, Size: 52, Offset=0
[Node 5] Packet: 0, RX: UDP, Port: 520, Time: 0.238249, Size: 52, Offset=0
[Node 5] Packet: 1, TX: UDP, Port: 520, Time: 0.238249, Size: 52, Offset=0
[Node 1] Packet: 0, RX: UDP, Port: 520, Time: 0.238249, Size: 52, Offset=0
[Node 1] Packet: 2, TX: UDP, Port: 520, Time: 0.238249, Size: 72, Offset=0
[Node 3] Packet: 0, RX: UDP, Port: 520, Time: 0.238249, Size: 52, Offset=0
[Node 3] Packet: 3, TX: UDP, Port: 520, Time: 0.238249, Size: 72, Offset=0
[Node 4] Packet: 2, RX: UDP, Port: 520, Time: 0.246599, Size: 72, Offset=0
[Node 4] Packet: 1, RX: UDP, Port: 520, Time: 0.250567, Size: 52, Offset=0
[Node 4] Packet: 3, RX: UDP, Port: 520, Time: 0.250599, Size: 72, Offset=0
[Node 1] Packet: 16, TX: UDP, Port: 520, Time: 0.258545, Size: 52, Offset=0
[Node 1] Packet: 16, TX: UDP, Port: 520, Time: 0.258545, Size: 52, Offset=0
[Node 0] Packet: 16, RX: UDP, Port: 520, Time: 0.259657, Size: 52, Offset=0
[Node 0] Packet: 17, TX: UDP, Port: 520, Time: 0.259657, Size: 72, Offset=0
[Node 4] Packet: 16, RX: UDP, Port: 520, Time: 0.259657, Size: 52, Offset=0
[Node 4] Packet: 18, TX: UDP, Port: 520, Time: 0.259657, Size: 132, Offset=0
[Node 1] Packet: 18, RX: UDP, Port: 520, Time: 0.269104, Size: 132, Offset=0
[Node 1] Packet: 17, RX: UDP, Port: 520, Time: 0.271008, Size: 72, Offset=0
[Node 3] Packet: 27, TX: UDP, Port: 520, Time: 0.37024, Size: 52, Offset=0
[Node 3] Packet: 27, TX: UDP, Port: 520, Time: 0.37024, Size: 52, Offset=0
[Node 4] Packet: 27, RX: UDP, Port: 520, Time: 0.371352, Size: 52, Offset=0
[Node 4] Packet: 28, TX: UDP, Port: 520, Time: 0.371352, Size: 132, Offset=0
[Node 2] Packet: 27, RX: UDP, Port: 520, Time: 0.371352, Size: 52, Offset=0
[Node 2] Packet: 29, TX: UDP, Port: 520, Time: 0.371352, Size: 72, Offset=0
[Node 3] Packet: 28, RX: UDP, Port: 520, Time: 0.374799, Size: 132, Offset=0
[Node 3] Packet: 29, RX: UDP, Port: 520, Time: 0.382703, Size: 72, Offset=0
[Node 0] Packet: 38, TX: UDP, Port: 520, Time: 0.530904, Size: 52, Offset=0
[Node 0] Packet: 38, TX: UDP, Port: 520, Time: 0.530904, Size: 52, Offset=0
[Node 1] Packet: 38, RX: UDP, Port: 520, Time: 0.532016, Size: 52, Offset=0
[Node 1] Packet: 39, TX: UDP, Port: 520, Time: 0.532016, Size: 152, Offset=0
[Node 2] Packet: 38, RX: UDP, Port: 520, Time: 0.532016, Size: 52, Offset=0
[Node 2] Packet: 40, TX: UDP, Port: 520, Time: 0.532016, Size: 72, Offset=0
[Node 0] Packet: 39, RX: UDP, Port: 520, Time: 0.537494, Size: 152, Offset=0
[Node 0] Packet: 40, RX: UDP, Port: 520, Time: 0.544366, Size: 72, Offset=0
[Node 5] Packet: 49, TX: UDP, Port: 520, Time: 0.570915, Size: 52, Offset=0
[Node 4] Packet: 49, RX: UDP, Port: 520, Time: 0.572027, Size: 52, Offset=0
[Node 4] Packet: 50, TX: UDP, Port: 520, Time: 0.572027, Size: 132, Offset=0
[Node 5] Packet: 50, RX: UDP, Port: 520, Time: 0.577474, Size: 132, Offset=0
[Node 2] Packet: 55, TX: UDP, Port: 520, Time: 0.720582, Size: 52, Offset=0
[Node 2] Packet: 55, TX: UDP, Port: 520, Time: 0.720582, Size: 52, Offset=0
[Node 3] Packet: 55, RX: UDP, Port: 520, Time: 0.721694, Size: 52, Offset=0
[Node 3] Packet: 56, TX: UDP, Port: 520, Time: 0.721694, Size: 152, Offset=0
[Node 0] Packet: 55, RX: UDP, Port: 520, Time: 0.721694, Size: 52, Offset=0
[Node 0] Packet: 57, TX: UDP, Port: 520, Time: 0.721694, Size: 152, Offset=0
[Node 2] Packet: 56, RX: UDP, Port: 520, Time: 0.730173, Size: 152, Offset=0
[Node 2] Packet: 57, RX: UDP, Port: 520, Time: 0.731173, Size: 152, Offset=0
[Node 3] Packet: 66, TX: UDP, Port: 520, Time: 1.7982, Size: 132, Offset=0
[Node 3] Packet: 67, TX: UDP, Port: 520, Time: 1.7982, Size: 132, Offset=0
[Node 4] Packet: 66, RX: UDP, Port: 520, Time: 1.79944, Size: 132, Offset=0
[Node 2] Packet: 67, RX: UDP, Port: 520, Time: 1.79944, Size: 132, Offset=0
[Node 1] Packet: 68, TX: UDP, Port: 520, Time: 1.88226, Size: 132, Offset=0
