Node,Packet,Direction,Protocol,Port,Time,Size,Offset,src IP,dest IP
12,0,RX,UDP,520,0.225637,52,0,1.1.12.1,224.0.0.9
12,1,TX,UDP,520,0.225637,232,0,1.1.12.2,1.1.12.1
8,2,TX,UDP,520,0.226385,52,0,192.166.1.42,224.0.0.9
8,2,TX,UDP,520,0.226385,52,0,192.166.1.56,224.0.0.9
8,2,TX,UDP,520,0.226385,52,0,192.166.1.34,224.0.0.9
8,2,TX,UDP,520,0.226385,52,0,192.166.1.6,224.0.0.9
8,2,TX,UDP,520,0.226385,52,0,192.166.1.24,224.0.0.9
8,2,TX,UDP,520,0.226385,52,0,192.166.1.91,224.0.0.9
8,2,TX,UDP,520,0.226385,52,0,192.166.1.93,224.0.0.9
8,2,TX,UDP,520,0.226385,52,0,192.166.1.70,224.0.0.9
8,2,TX,UDP,520,0.226385,52,0,2.2.11.2,224.0.0.9
4,2,RX,UDP,520,0.227428,52,0,192.166.1.56,224.0.0.9
4,3,TX,UDP,520,0.227428,252,0,192.166.1.55,192.166.1.56
1,2,RX,UDP,520,0.227428,52,0,192.166.1.24,224.0.0.9
1,4,TX,UDP,520,0.227428,192,0,192.166.1.23,192.166.1.24
11,2,RX,UDP,520,0.227428,52,0,192.166.1.91,224.0.0.9
11,5,TX,UDP,520,0.227428,272,0,192.166.1.92,192.166.1.91
3,2,RX,UDP,520,0.227471,52,0,192.166.1.42,224.0.0.9
3,6,TX,UDP,520,0.227471,172,0,192.166.1.41,192.166.1.42
0,2,RX,UDP,520,0.227471,52,0,192.166.1.6,224.0.0.9
0,7,TX,UDP,520,0.227471,172,0,192.166.1.5,192.166.1.6
5,2,RX,UDP,520,0.227471,52,0,192.166.1.70,224.0.0.9
5,8,TX,UDP,520,0.227471,232,0,192.166.1.69,192.166.1.70
2,2,RX,UDP,520,0.227817,52,0,192.166.1.34,224.0.0.9
2,10,TX,UDP,520,0.227817,152,0,192.166.1.33,192.166.1.34
12,2,RX,UDP,520,0.227817,52,0,192.166.1.93,224.0.0.9
12,11,TX,UDP,520,0.227817,232,0,192.166.1.94,192.166.1.93
8,9,RX,UDP,520,0.228558,52,0,2.2.11.1,2.2.11.2
14,6,RX,UDP,520,0.228611,172,0,192.166.1.41,192.166.1.42
14,6,TX,UDP,520,0.228611,172,0,192.166.1.41,192.166.1.42
13,3,RX,UDP,520,0.228631,252,0,192.166.1.55,192.166.1.56
13,3,TX,UDP,520,0.228631,252,0,192.166.1.55,192.166.1.56
14,4,RX,UDP,520,0.228739,192,0,192.166.1.23,192.166.1.24
14,4,TX,UDP,520,0.228739,192,0,192.166.1.23,192.166.1.24
14,7,RX,UDP,520,0.22875,172,0,192.166.1.5,192.166.1.6
14,7,TX,UDP,520,0.22875,172,0,192.166.1.5,192.166.1.6
13,8,RX,UDP,520,0.228846,232,0,192.166.1.69,192.166.1.70
13,8,TX,UDP,520,0.228846,232,0,192.166.1.69,192.166.1.70
14,5,RX,UDP,520,0.228867,272,0,192.166.1.92,192.166.1.91
14,5,TX,UDP,520,0.228867,272,0,192.166.1.92,192.166.1.91
14,10,RX,UDP,520,0.22894,152,0,192.166.1.33,192.166.1.34
14,10,TX,UDP,520,0.22894,152,0,192.166.1.33,192.166.1.34
11,6,RX,UDP,520,0.229889,172,0,192.166.1.41,192.166.1.42
11,6,TX,UDP,520,0.229889,172,0,192.166.1.41,192.166.1.42
11,4,RX,UDP,520,0.230199,192,0,192.166.1.23,192.166.1.24
11,4,TX,UDP,520,0.230199,192,0,192.166.1.23,192.166.1.24
11,7,RX,UDP,520,0.230478,172,0,192.166.1.5,192.166.1.6
11,7,TX,UDP,520,0.230478,172,0,192.166.1.5,192.166.1.6
13,11,RX,UDP,520,0.230689,232,0,192.166.1.94,192.166.1.93
13,11,TX,UDP,520,0.230689,232,0,192.166.1.94,192.166.1.93
11,5,RX,UDP,520,0.230916,272,0,192.166.1.92,192.166.1.91
11,5,TX,UDP,520,0.230916,272,0,192.166.1.92,192.166.1.91
11,10,RX,UDP,520,0.231163,152,0,192.166.1.33,192.166.1.34
11,10,TX,UDP,520,0.231163,152,0,192.166.1.33,192.166.1.34
14,6,RX,UDP,520,0.231167,172,0,192.166.1.41,192.166.1.42
14,6,TX,UDP,520,0.231167,172,0,192.166.1.41,192.166.1.42
14,4,RX,UDP,520,0.23151,192,0,192.166.1.23,192.166.1.24
14,4,TX,UDP,520,0.23151,192,0,192.166.1.23,192.166.1.24
12,3,RX,UDP,520,0.231663,252,0,192.166.1.55,192.166.1.56
12,3,TX,UDP,520,0.231663,252,0,192.166.1.55,192.166.1.56
14,7,RX,UDP,520,0.231788,172,0,192.166.1.5,192.166.1.6
14,7,TX,UDP,520,0.231788,172,0,192.166.1.5,192.166.1.6
14,5,RX,UDP,520,0.232355,272,0,192.166.1.92,192.166.1.91
14,5,TX,UDP,520,0.232355,272,0,192.166.1.92,192.166.1.91
11,6,RX,UDP,520,0.232446,172,0,192.166.1.41,192.166.1.42
11,6,TX,UDP,520,0.232446,172,0,192.166.1.41,192.166.1.42
14,10,RX,UDP,520,0.232601,152,0,192.166.1.33,192.166.1.34
14,10,TX,UDP,520,0.232601,152,0,192.166.1.33,192.166.1.34
11,4,RX,UDP,520,0.23282,192,0,192.166.1.23,192.166.1.24
