[Node 3] Packet: 0, TX: UDP, Port: 520, Time: 0.0648515, Size: 52, Offset=0
[Node 3] Packet: 0, TX: UDP, Port: 520, Time: 0.0648515, Size: 52, Offset=0
[Node 3] Packet: 0, TX: UDP, Port: 520, Time: 0.0648515, Size: 52, Offset=0
[Node 3] Packet: 0, TX: UDP, Port: 520, Time: 0.0648515, Size: 52, Offset=0
[Node 3] Packet: 0, TX: UDP, Port: 520, Time: 0.0648515, Size: 52, Offset=0
[Node 3] Packet: 0, TX: UDP, Port: 520, Time: 0.0648515, Size: 52, Offset=0
[Node 3] Packet: 0, TX: UDP, Port: 520, Time: 0.0648515, Size: 52, Offset=0
[Node 7] Packet: 0, RX: UDP, Port: 520, Time: 0.0748947, Size: 52, Offset=0
[Node 7] Packet: 1, TX: UDP, Port: 520, Time: 0.0748947, Size: 192, Offset=0
[Node 0] Packet: 0, RX: UDP, Port: 520, Time: 0.0748947, Size: 52, Offset=0
[Node 0] Packet: 2, TX: UDP, Port: 520, Time: 0.0748947, Size: 152, Offset=0
[Node 8] Packet: 0, RX: UDP, Port: 520, Time: 0.0749075, Size: 52, Offset=0
[Node 8] Packet: 5, TX: UDP, Port: 520, Time: 0.0749075, Size: 192, Offset=0
[Node 11] Packet: 0, RX: UDP, Port: 520, Time: 0.0749075, Size: 52, Offset=0
[Node 11] Packet: 6, TX: UDP, Port: 520, Time: 0.0749075, Size: 252, Offset=0
[Node 14] Packet: 0, RX: UDP, Port: 520, Time: 0.0749379, Size: 52, Offset=0
[Node 14] Packet: 7, TX: UDP, Port: 520, Time: 0.0749379, Size: 232, Offset=0
[Node 1] Packet: 0, RX: UDP, Port: 520, Time: 0.0749635, Size: 52, Offset=0
[Node 1] Packet: 8, TX: UDP, Port: 520, Time: 0.0749635, Size: 212, Offset=0
[Node 9] Packet: 0, RX: UDP, Port: 520, Time: 0.0754115, Size: 52, Offset=0
[Node 9] Packet: 9, TX: UDP, Port: 520, Time: 0.0754115, Size: 152, Offset=0
[Node 11] Packet: 7, RX: UDP, Port: 520, Time: 0.0803123, Size: 232, Offset=0
[Node 11] Packet: 7, TX: UDP, Port: 520, Time: 0.0803123, Size: 232, Offset=0
[Node 14] Packet: 6, RX: UDP, Port: 520, Time: 0.0803139, Size: 252, Offset=0
[Node 14] Packet: 6, TX: UDP, Port: 520, Time: 0.0803139, Size: 252, Offset=0
[Node 13] Packet: 14, TX: UDP, Port: 520, Time: 0.0850843, Size: 52, Offset=0
[Node 13] Packet: 14, TX: UDP, Port: 520, Time: 0.0850843, Size: 52, Offset=0
[Node 13] Packet: 14, TX: UDP, Port: 520, Time: 0.0850843, Size: 52, Offset=0
[Node 13] Packet: 14, TX: UDP, Port: 520, Time: 0.0850843, Size: 52, Offset=0
[Node 13] Packet: 14, TX: UDP, Port: 520, Time: 0.0850843, Size: 52, Offset=0
[Node 13] Packet: 14, TX: UDP, Port: 520, Time: 0.0850843, Size: 52, Offset=0
[Node 13] Packet: 14, TX: UDP, Port: 520, Time: 0.0850843, Size: 52, Offset=0
[Node 14] Packet: 2, RX: UDP, Port: 520, Time: 0.0851411, Size: 152, Offset=0
[Node 14] Packet: 2, TX: UDP, Port: 520, Time: 0.0851411, Size: 152, Offset=0
[Node 14] Packet: 9, RX: UDP, Port: 520, Time: 0.0856579, Size: 152, Offset=0
[Node 14] Packet: 9, TX: UDP, Port: 520, Time: 0.0856579, Size: 152, Offset=0
[Node 14] Packet: 7, RX: UDP, Port: 520, Time: 0.0856867, Size: 232, Offset=0
[Node 14] Packet: 7, TX: UDP, Port: 520, Time: 0.0856867, Size: 232, Offset=0
[Node 11] Packet: 6, RX: UDP, Port: 520, Time: 0.0857203, Size: 252, Offset=0
[Node 11] Packet: 6, TX: UDP, Port: 520, Time: 0.0857203, Size: 252, Offset=0
[Node 11] Packet: 14, RX: UDP, Port: 520, Time: 0.0901275, Size: 52, Offset=0
[Node 11] Packet: 15, TX: UDP, Port: 520, Time: 0.0901275, Size: 252, Offset=0
[Node 11] Packet: 2, RX: UDP, Port: 520, Time: 0.0903875, Size: 152, Offset=0
[Node 11] Packet: 2, TX: UDP, Port: 520, Time: 0.0903875, Size: 152, Offset=0
[Node 11] Packet: 9, RX: UDP, Port: 520, Time: 0.0909043, Size: 152, Offset=0
[Node 11] Packet: 9, TX: UDP, Port: 520, Time: 0.0909043, Size: 152, Offset=0
[Node 14] Packet: 6, RX: UDP, Port: 520, Time: 0.0911267, Size: 252, Offset=0
[Node 14] Packet: 6, TX: UDP, Port: 520, Time: 0.0911267, Size: 252, Offset=0
[Node 11] Packet: 7, RX: UDP, Port: 520, Time: 0.0912787, Size: 232, Offset=0
[Node 11] Packet: 7, TX: UDP, Port: 520, Time: 0.0912787, Size: 232, Offset=0
[Node 4] Packet: 14, RX: UDP, Port: 520, Time: 0.0951403, Size: 52, Offset=0
[Node 4] Packet: 17, TX: UDP, Port: 520, Time: 0.0951403, Size: 252, Offset=0
