date,time,timestamp,F1/T,F2/T,F3/T,F4/T,F5/T,F6/T,F7/T,F8/T,F9/T,F10/T,F1/P,F2/P,F3/P,F4/P,F5/P,F6/P,F7/P,F8/P,F9/P,F10/P,F1/Avg_packet_size,F2/Avg_packet_size,F3/Avg_packet_size,F4/Avg_packet_size,F5/Avg_packet_size,F6/Avg_packet_size,F7/Avg_packet_size,F8/Avg_packet_size,F9/Avg_packet_size,F10/Avg_packet_size,F1/n_packets,F2/n_packets,F3/n_packets,F4/n_packets,F5/n_packets,F6/n_packets,F7/n_packets,F8/n_packets,F9/n_packets,F10/n_packets,F1/q_type,F2/q_type,F3/q_type,F4/q_type,F5/q_type,F6/q_type,F7/q_type,F8/q_type,F9/q_type,F10/q_type,Total/T,Total/P,F1_ips,F2_ips,F3_ips,F4_ips,F5_ips,F6_ips,F7_ips,F8_ips,F9_ips,F10_ips,traffic_level
2023-12-07,04:50,1701892200,0.0,0.0,0.0,0.0,0.0,34.34810636,0.0,0.0,49.376758413333334,0.0,0.0,0.0,0.0,0.0,0.0,3.4761716666666667,0.0,0.0,5.42524,0.0,0.0,0.0,0.0,0.0,0.0,1235.1269461663526,0.0,0.0,1137.6629977045563,0.0,0.0,0.0,0.0,0.0,0.0,2085703.0,0.0,0.0,3255144.0,0.0,Interactive_Web,Streaming_Media,Background_Sync,Streaming_Media,Real_Time_Interactive,Interactive_Web,Real_Time_Interactive,Interactive_Web,Real_Time_Interactive,Real_Time_Interactive,83.72486477333334,8.901411666666666,* * 40.51%,150.37.248.94 * 11.65%,* 202.203.193.0/24 9.72%,* 150.37.128.0/17 7.58%,* 163.45.128.0/18 7.49%,*:: 2001::/16 5.65%,*:: *:: 5.26%,* 163.45.0.0/18 4.93%,203.190.176.0/20 * 3.70%,* 163.45.64.0/18 3.52%,1
2025-02-08,01:40,1738946400,382.48395,254.43082577333337,0.0,0.0,62.16046992,0.0,118.94806446666666,0.0,0.0,32.91296202666667,78.27992833333333,26.90998666666667,0.0,0.0,8.978986666666666,0.0,7.474238333333334,0.0,0.0,2.656425,610.7631262309324,1181.8606086885216,0.0,0.0,865.3603160861509,0.0,1989.300768216516,0.0,0.0,1548.7432369945825,46967957.0,16145992.0,0.0,0.0,5387392.0,0.0,4484543.0,0.0,0.0,1593855.0,Background_Sync,Interactive_Web,Interactive_Web,Streaming_Media,Real_Time_Interactive,Interactive_Web,Interactive_Web,Real_Time_Interactive,Interactive_Web,Interactive_Web,850.9362721866667,124.299565,* * 30.88%,150.37.248.94 * 17.41%,* 150.37.0.0/16 15.13%,2001:f3ff:a30a:2f1:7fff:c08f:cf9c:f10d *:: 6.86%,*:: *:: 5.86%,203.190.176.0/20 * 5.54%,2001::/16 *:: 4.79%,* 150.37.136.0/23 4.79%,*:: 2001:fe1d:be00::/39 4.52%,* 150.37.248.94 4.22%,2
2024-04-16,08:10,1713222600,0.0,0.0,0.0,79.82781709333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1949616666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51181.738991425664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116977.0,0.0,0.0,0.0,0.0,0.0,0.0,Interactive_Web,Interactive_Web,Background_Sync,Real_Time_Interactive,Streaming_Media,Interactive_Web,Interactive_Web,Real_Time_Interactive,Real_Time_Interactive,Real_Time_Interactive,79.82781709333334,0.1949616666666666,* * 38.41%,150.37.248.94 * 16.28%,* 150.37.0.0/16 13.84%,*:: 2001::/16 7.24%,* 202.203.193.120/30 4.75%,* 202.203.193.0/25 4.63%,2001:f3ff:a30a:2f1:7fff:c08f:cf9c:f10d *:: 4.40%,* 202.203.193.116/30 4.18%,23.0.0.0/8 202.203.193.112/28 4.10%,*:: *:: 2.15%,1
2025-06-17,13:00,1750132800,1757.797189893333,156.60621289333335,219.44856245333335,81.63560934666667,106.96114934666666,30.034484879999997,105.91673518666668,186.03632158666667,61.28832393333333,0.0,133.018155,28.39373,26.75931333333333,16.724071666666667,23.053385,29.756181666666667,13.245108333333334,12.077645,6.055981666666667,0.0,1651.839545787315,689.4401197611821,1025.1036700742447,610.1654771470623,579.9644463636613,126.1690983089284,999.5835115228076,1925.4200796871685,1265.0369359330402,0.0,79810893.0,17036238.0,16055588.0,10034443.0,13832031.0,17853709.0,7947065.0,7246587.0,3633589.0,0.0,Background_Sync,Interactive_Web,Streaming_Media,Interactive_Web,Interactive_Web,Real_Time_Interactive,Background_Sync,Interactive_Web,Interactive_Web,Interactive_Web,2705.7245895200003,289.08357166666667,* * 48.08%,150.37.248.94 * 10.86%,* 150.37.0.0/16 7.12%,* 150.37.136.0/22 6.26%,2001:f3ff:a30a:2f1:7fff:c08f:cf9c:f10d *:: 5.35%,*:: 2001:fe1d:be00::/39 4.84%,*:: *:: 4.55%,*:: 2001:f3ff:a000::/38 4.42%,* 150.37.192.0/18 4.28%,* 202.203.193.120/31 4.23%,4
2024-03-09,12:50,1709956200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.922626253333338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.621628333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.8450761230181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3972977.0,0.0,0.0,Interactive_Web,Interactive_Web,Real_Time_Interactive,Real_Time_Interactive,Streaming_Media,Background_Sync,Real_Time_Interactive,Real_Time_Interactive,Interactive_Web,Real_Time_Interactive,21.922626253333338,6.621628333333333,* * 30.48%,150.37.248.94 * 21.25%,* 150.37.0.0/16 10.00%,2001:f3ff:a30a:2f1:7fff:c08f:cf9c:f10d *:: 7.13%,* 150.37.248.94 6.93%,203.190.163.122 * 6.42%,*:: 2001::/16 5.67%,203.190.176.0/20 * 5.14%,* 150.37.136.0/22 4.79%,*:: *:: 2.19%,1
2024-10-12,21:50,1728737400,0.0,0.0,138.1672623066667,163.88195877333334,0.0,0.0,103.55989714666666,53.80344337333334,116.5894004,0.0,0.0,0.0,24.10512,17.53164,0.0,0.0,6.393858333333333,4.281968333333333,8.45682,0.0,0.0,0.0,716.4829624715967,1168.4728209492478,0.0,0.0,2024.5971162430612,1570.639924941061,1723.304392194702,0.0,0.0,0.0,14463072.0,10518984.0,0.0,0.0,3836315.0,2569181.0,5074092.0,0.0,Background_Sync,Interactive_Web,Interactive_Web,Streaming_Media,Real_Time_Interactive,Interactive_Web,Interactive_Web,Interactive_Web,Interactive_Web,Real_Time_Interactive,576.001962,60.76940666666666,* * 32.29%,150.37.158.57 * 15.67%,203.190.176.0/20 * 14.65%,150.37.248.94 * 12.10%,203.190.178.175 1.67.93.160/28 5.59%,* 150.37.136.0/22 5.40%,2001::/16 *:: 4.77%,* 150.37.158.57 4.70%,*:: 2001::/16 4.11%,*:: *:: 0.72%,2
2025-04-21,09:30,1745195400,0.0,0.0,203.55729068,204.21211658666667,0.0,0.0,157.40957081333335,38.70736336,98.78232666666668,118.31679473333334,0.0,0.0,20.161875,14.76786,0.0,0.0,13.156566666666668,7.321813333333333,9.158045,8.740251666666667,0.0,0.0,1262.0186036764935,1728.518185663551,0.0,0.0,1495.5418727530232,660.8226951064945,1348.299864581724,1692.1251132928858,0.0,0.0,12097125.0,8860716.0,0.0,0.0,7893940.0,4393088.0,5494827.0,5244151.0,Background_Sync,Background_Sync,Interactive_Web,Interactive_Web,Real_Time_Interactive,Real_Time_Interactive,Streaming_Media,Real_Time_Interactive,Background_Sync,Interactive_Web,820.9854628400001,73.30641166666666,* * 29.52%,* 202.203.193.112/28 15.94%,150.37.248.94 * 14.48%,*:: *:: 10.70%,* 150.37.136.0/22 6.84%,203.190.176.0/20 * 4.92%,* 150.37.0.0/16 4.91%,2001::/16 *:: 4.82%,* 150.37.192.0/18 4.02%,* 202.0.0.0/8 3.86%,3
2025-02-18,08:40,1739835600,621.0612372533333,0.0,0.0,177.1571618,116.01448528,0.0,101.62353221333332,0.0,0.0,35.86259816,66.93149666666667,0.0,0.0,13.383168333333334,11.33034,0.0,12.5023,0.0,0.0,2.0915316666666666,1159.8822456233734,0.0,0.0,1654.663878795019,1279.9095755290662,0.0,1016.0483692333944,0.0,0.0,2143.3214908691316,40158898.0,0.0,0.0,8029901.0,6798204.0,0.0,7501380.0,0.0,0.0,1254919.0,Streaming_Media,Interactive_Web,Real_Time_Interactive,Background_Sync,Background_Sync,Real_Time_Interactive,Interactive_Web,Real_Time_Interactive,Real_Time_Interactive,Interactive_Web,1051.7190147066667,106.23883666666669,* * 41.26%,150.37.248.94 * 16.70%,* 150.37.128.0/17 7.64%,203.190.160.0/19 * 6.75%,* 150.37.192.0/18 6.70%,2001:f3ff:a30a:2f1:7fff:c08f:cf9c:f10d *:: 5.63%,*:: 2001:fe1d:be00::/39 4.36%,2001::/16 *:: 4.03%,*:: 2001:f3ff:a30a::/48 3.79%,*:: *:: 3.14%,2
2024-05-11,18:00,1715418000,266.64758265333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.342945453333332,38.792985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7080033333333333,859.2003897525975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3061.946292625741,23275791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424802.0,Interactive_Web,Real_Time_Interactive,Interactive_Web,Streaming_Media,Real_Time_Interactive,Real_Time_Interactive,Real_Time_Interactive,Real_Time_Interactive,Real_Time_Interactive,Real_Time_Interactive,283.9905281066667,39.50098833333333,* * 42.46%,150.37.248.94 * 16.13%,* 150.37.128.0/17 8.29%,203.190.187.182 * 8.11%,* 150.37.248.94 5.19%,*:: 2001:fe1d:be00::/39 5.03%,2001:f3ff:a30a:2f1:7fff:c08f:cf9c:f10d *:: 4.58%,*:: 2001::/16 4.17%,203.190.176.0/20 * 3.63%,*:: *:: 2.41%,1
2024-11-05,11:20,1730773200,735.60213788,559.95070012,313.7980496933333,0.0,138.89433637333337,62.20364310666667,65.84429466666667,110.56420478666666,47.66540117333333,293.16832212,136.331105,25.170685,16.444233333333333,0.0,25.818175,16.84973666666667,12.867566666666669,10.129636666666666,14.094863333333333,3.970328333333333,674.4628618318615,2780.768084579343,2385.319851437282,0.0,672.4639540427108,461.4585700745867,639.6342872389755,1364.3653818119833,422.71961109236247,9229.977268462684,81798663.0,15102411.0,9866540.0,0.0,15490905.0,10109842.0,7720540.0,6077782.0,8456918.0,2382197.0,Background_Sync,Background_Sync,Interactive_Web,Interactive_Web,Interactive_Web,Real_Time_Interactive,Real_Time_Interactive,Streaming_Media,Real_Time_Interactive,Interactive_Web,2327.6910899199997,261.67633,* * 31.15%,150.37.248.94 * 22.64%,*:: *:: 12.61%,* 150.37.0.0/16 9.52%,2404:93dc:a0b0::/44 2001::/16 4.62%,* 150.37.192.0/18 4.26%,* 157.90.0.0/16 4.04%,* 131.75.0.0/16 3.84%,2001:f3ff:a30a:2f1:7fff:c08f:cf9c:f10d *:: 3.66%,* 202.203.193.0/24 3.66%,4
